Name,Type,Species,Height,Weight (KG),Abilities,Base Exp.,Growth Rate,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Total
Slowpoke,Psychic,Dopey Pokémon,1.2,36,Gluttony Own Tempo Regenerator,63,Medium Fast,90,65,65,40,40,15,225
Slowbro,Poison Psychic,Hermit Crab Pokémon,1.6,70.5,Quick Draw Own Tempo Regenerator,172,Medium Fast,95,100,95,100,70,30,395
Magnemite,Electric Steel,Magnet Pokémon,0.3,6,1. Magnet Pull2. SturdyAnalytic (hidden ability),65,Medium Fast,25,35,70,95,55,45,300
Magneton,Electric Steel,Magnet Pokémon,1,60,1. Magnet Pull2. SturdyAnalytic (hidden ability),163,Medium Fast,50,60,95,120,70,70,415
Farfetch'd,Fighting,Wild Duck Pokémon,0.8,42,Steadfast Scrappy,132,Medium Fast,52,95,55,58,62,55,325
Doduo,Normal Flying,Twin Bird Pokémon,1.4,39.2,1. Run Away2. Early BirdTangled Feet (hidden ability),62,Medium Fast,35,85,45,35,35,75,275
Dodrio,Normal Flying,Triple Bird Pokémon,1.8,85.2,1. Run Away2. Early BirdTangled Feet (hidden ability),165,Medium Fast,60,110,70,60,60,110,410
Seel,Water,Sea Lion Pokémon,1.1,90,1. Thick Fat2. HydrationIce Body (hidden ability),65,Medium Fast,65,45,55,45,70,45,260
Dewgong,Water Ice,Sea Lion Pokémon,1.7,120,1. Thick Fat2. HydrationIce Body (hidden ability),166,Medium Fast,90,70,80,70,95,70,385
Grimer,Poison Dark,Sludge Pokémon,0.7,42,Poison Touch Gluttony Power of Alchemy,65,Medium Fast,80,80,50,40,50,25,245
Muk,Poison Dark,Sludge Pokémon,1,52,Poison Touch Gluttony Power of Alchemy,175,Medium Fast,105,105,75,65,100,50,395
Shellder,Water,Bivalve Pokémon,0.3,4,1. Shell Armor2. Skill LinkOvercoat (hidden ability),61,Slow,30,65,100,45,25,40,275
Cloyster,Water Ice,Bivalve Pokémon,1.5,132.5,1. Shell Armor2. Skill LinkOvercoat (hidden ability),184,Slow,50,95,180,85,45,70,475
Gastly,Ghost Poison,Gas Pokémon,1.3,0.1,1. Levitate,62,Medium Slow,30,35,30,100,35,80,280
Haunter,Ghost Poison,Gas Pokémon,1.6,0.1,1. Levitate,142,Medium Slow,45,50,45,115,55,95,360
Gengar,Ghost Poison,Shadow Pokémon,1.4,40.5,Shadow Tag,270,Medium Slow,60,65,80,170,95,130,540
Onix,Rock Ground,Rock Snake Pokémon,8.8,210,1. Rock Head2. SturdyWeak Armor (hidden ability),77,Medium Fast,35,45,160,30,45,70,350
Drowzee,Psychic,Hypnosis Pokémon,1,32.4,1. Insomnia2. ForewarnInner Focus (hidden ability),66,Medium Fast,60,48,45,43,90,42,268
Hypno,Psychic,Hypnosis Pokémon,1.6,75.6,1. Insomnia2. ForewarnInner Focus (hidden ability),169,Medium Fast,85,73,70,73,115,67,398
Krabby,Water,River Crab Pokémon,0.4,6.5,1. Hyper Cutter2. Shell ArmorSheer Force (hidden ability),65,Medium Fast,30,105,90,25,25,50,295
Kingler,Water,Pincer Pokémon,1.3,60,1. Hyper Cutter2. Shell ArmorSheer Force (hidden ability),166,Medium Fast,55,130,115,50,50,75,420
Voltorb,Electric Grass,Sphere Pokémon,0.5,13,Soundproof Static Aftermath,66,Medium Fast,40,30,50,55,55,100,290
Electrode,Electric Grass,Sphere Pokémon,1.2,71,Soundproof Static Aftermath,172,Medium Fast,60,50,70,80,80,150,430
Exeggcute,Grass Psychic,Egg Pokémon,0.4,2.5,1. ChlorophyllHarvest (hidden ability),65,Slow,60,40,80,60,45,40,265
Exeggutor,Grass Dragon,Coconut Pokémon,10.9,415.6,Frisk Harvest,186,Slow,95,105,85,125,75,45,435
Cubone,Ground,Lonely Pokémon,0.4,6.5,1. Rock Head2. Lightning RodBattle Armor (hidden ability),64,Medium Fast,50,50,95,40,50,35,270
Marowak,Fire Ghost,Bone Keeper Pokémon,1,34,Cursed Body Lightning Rod Rock Head,149,Medium Fast,60,80,110,50,80,45,365
Hitmonlee,Fighting,Kicking Pokémon,1.5,49.8,1. Limber2. RecklessUnburden (hidden ability),159,Medium Fast,50,120,53,35,110,87,405
Hitmonchan,Fighting,Punching Pokémon,1.4,50.2,1. Keen Eye2. Iron FistInner Focus (hidden ability),159,Medium Fast,50,105,79,35,110,76,405
Lickitung,Normal,Licking Pokémon,1.2,65.5,1. Own Tempo2. ObliviousCloud Nine (hidden ability),77,Medium Fast,90,55,75,60,75,30,295
Koffing,Poison,Poison Gas Pokémon,0.6,1,1. Levitate2. Neutralizing GasStench (hidden ability),68,Medium Fast,40,65,95,60,45,35,300
Weezing,Poison Fairy,Poison Gas Pokémon,3,16,Levitate Neutralizing Gas Misty Surge,172,Medium Fast,65,90,120,85,70,60,425
Rhyhorn,Ground Rock,Spikes Pokémon,1,115,1. Lightning Rod2. Rock HeadReckless (hidden ability),69,Slow,80,85,95,30,30,25,265
Rhydon,Ground Rock,Drill Pokémon,1.9,120,1. Lightning Rod2. Rock HeadReckless (hidden ability),170,Slow,105,130,120,45,45,40,380
Chansey,Normal,Egg Pokémon,1.1,34.6,1. Natural Cure2. Serene GraceHealer (hidden ability),395,Fast,250,5,5,35,105,50,200
Tangela,Grass,Vine Pokémon,1,35,1. Chlorophyll2. Leaf GuardRegenerator (hidden ability),87,Medium Fast,65,55,115,100,40,60,370
Kangaskhan,Normal,Parent Pokémon,2.2,100,Parental Bond,207,Medium Fast,105,125,100,60,100,100,485
Horsea,Water,Dragon Pokémon,0.4,8,1. Swift Swim2. SniperDamp (hidden ability),59,Medium Fast,30,40,70,70,25,60,265
Seadra,Water,Dragon Pokémon,1.2,25,1. Poison Point2. SniperDamp (hidden ability),154,Medium Fast,55,65,95,95,45,85,385
Goldeen,Water,Goldfish Pokémon,0.6,15,1. Swift Swim2. Water VeilLightning Rod (hidden ability),64,Medium Fast,45,67,60,35,50,63,275
Seaking,Water,Goldfish Pokémon,1.3,39,1. Swift Swim2. Water VeilLightning Rod (hidden ability),158,Medium Fast,80,92,65,65,80,68,370
Staryu,Water,Star Shape Pokémon,0.8,34.5,1. Illuminate2. Natural CureAnalytic (hidden ability),68,Slow,30,45,55,70,55,85,310
Starmie,Water Psychic,Mysterious Pokémon,1.1,80,1. Illuminate2. Natural CureAnalytic (hidden ability),182,Slow,60,75,85,100,85,115,460
mr-mime,Ice Psychic,Dancing Pokémon,1.4,56.8,Vital Spirit Screen Cleaner Ice Body,161,Medium Fast,50,65,65,90,90,100,410
Scyther,Bug Flying,Mantis Pokémon,1.5,56,1. Swarm2. TechnicianSteadfast (hidden ability),100,Medium Fast,70,110,80,55,80,105,430
Jynx,Ice Psychic,Human Shape Pokémon,1.4,40.6,1. Oblivious2. ForewarnDry Skin (hidden ability),159,Medium Fast,65,50,35,115,95,95,390
Electabuzz,Electric,Electric Pokémon,1.1,30,1. StaticVital Spirit (hidden ability),172,Medium Fast,65,83,57,95,85,105,425
Magmar,Fire,Spitfire Pokémon,1.3,44.5,1. Flame BodyVital Spirit (hidden ability),173,Medium Fast,65,95,57,100,85,93,430
Pinsir,Bug Flying,Stag Beetle Pokémon,1.7,59,Aerilate,210,Slow,65,155,120,65,90,105,535
Tauros,Fighting Water,Wild Bull Pokémon,1.4,110,Intimidate Anger Point Cud Chew,172,Slow,75,110,105,30,70,100,415
Magikarp,Water,Fish Pokémon,0.9,10,1. Swift SwimRattled (hidden ability),40,Slow,20,10,55,15,20,80,180
Gyarados,Water Dark,Atrocious Pokémon,6.5,305,Mold Breaker,224,Slow,95,155,109,70,130,81,545
Lapras,Water Ice,Transport Pokémon,2.5,220,1. Water Absorb2. Shell ArmorHydration (hidden ability),187,Slow,130,85,80,85,95,60,405
Ditto,Normal,Transform Pokémon,0.3,4,1. LimberImposter (hidden ability),101,Medium Fast,48,48,48,48,48,48,240
Eevee,Normal,Evolution Pokémon,0.3,6.5,Run Away Adaptability,65,Medium Fast,65,75,70,65,85,75,370
Vaporeon,Water,Bubble Jet Pokémon,1,29,1. Water AbsorbHydration (hidden ability),184,Medium Fast,130,65,60,110,95,65,395
Jolteon,Electric,Lightning Pokémon,0.8,24.5,1. Volt AbsorbQuick Feet (hidden ability),184,Medium Fast,65,65,60,110,95,130,460
Flareon,Fire,Flame Pokémon,0.9,25,1. Flash FireGuts (hidden ability),184,Medium Fast,65,130,60,95,110,65,460
Porygon,Normal,Virtual Pokémon,0.8,36.5,1. Trace2. DownloadAnalytic (hidden ability),79,Medium Fast,65,60,70,85,75,40,330
Omanyte,Rock Water,Spiral Pokémon,0.4,7.5,1. Swift Swim2. Shell ArmorWeak Armor (hidden ability),71,Medium Fast,35,40,100,90,55,35,320
Omastar,Rock Water,Spiral Pokémon,1,35,1. Swift Swim2. Shell ArmorWeak Armor (hidden ability),173,Medium Fast,70,60,125,115,70,55,425
Kabuto,Rock Water,Shellfish Pokémon,0.5,11.5,1. Swift Swim2. Battle ArmorWeak Armor (hidden ability),71,Medium Fast,30,80,90,55,45,55,325
Kabutops,Rock Water,Shellfish Pokémon,1.3,40.5,1. Swift Swim2. Battle ArmorWeak Armor (hidden ability),173,Medium Fast,60,115,105,65,70,80,435
Aerodactyl,Rock Flying,Fossil Pokémon,2.1,79,Tough Claws,215,Slow,80,135,85,70,95,150,535
Snorlax,Normal,Sleeping Pokémon,2.1,460,1. Immunity2. Thick FatGluttony (hidden ability),189,Slow,160,110,65,65,110,30,380
Articuno,Psychic Flying,Cruel Pokémon,1.7,50.9,Competitive,290,Slow,90,85,85,125,100,95,490
Zapdos,Fighting Flying,Strong Legs Pokémon,1.6,58.2,Defiant,290,Slow,90,125,90,85,90,100,490
Moltres,Dark Flying,Malevolent Pokémon,2,66,Berserk,290,Slow,90,85,90,100,125,90,490
Dratini,Dragon,Dragon Pokémon,1.8,3.3,1. Shed SkinMarvel Scale (hidden ability),60,Slow,41,64,45,50,50,50,259
Dragonair,Dragon,Dragon Pokémon,4,16.5,1. Shed SkinMarvel Scale (hidden ability),147,Slow,61,84,65,70,70,70,359
Dragonite,Dragon Flying,Dragon Pokémon,2.2,210,1. Inner FocusMultiscale (hidden ability),300,Slow,91,134,95,100,100,80,509
Mewtwo,Psychic,Genetic Pokémon,1.5,33,Insomnia,351,Slow,106,150,70,194,120,140,674
Mew,Psychic,New Species Pokémon,0.4,4,1. Synchronize,300,Medium Slow,100,100,100,100,100,100,500
Chikorita,Grass,Leaf Pokémon,0.9,6.4,1. OvergrowLeaf Guard (hidden ability),64,Medium Slow,45,49,65,49,65,45,273
Bayleef,Grass,Leaf Pokémon,1.2,15.8,1. OvergrowLeaf Guard (hidden ability),142,Medium Slow,60,62,80,63,80,60,345
Meganium,Grass,Herb Pokémon,1.8,100.5,1. OvergrowLeaf Guard (hidden ability),236,Medium Slow,80,82,100,83,100,80,445
Cyndaquil,Fire,Fire Mouse Pokémon,0.5,7.9,1. BlazeFlash Fire (hidden ability),62,Medium Slow,39,52,43,60,50,65,270
Quilava,Fire,Volcano Pokémon,0.9,19,1. BlazeFlash Fire (hidden ability),142,Medium Slow,58,64,58,80,65,80,347
Typhlosion,Fire Ghost,Ghost Flame Pokémon,1.6,69.8,Blaze Frisk,267,Medium Slow,73,84,78,119,85,95,461
Totodile,Water,Big Jaw Pokémon,0.6,9.5,1. TorrentSheer Force (hidden ability),63,Medium Slow,50,65,64,44,48,43,264
Croconaw,Water,Big Jaw Pokémon,1.1,25,1. TorrentSheer Force (hidden ability),142,Medium Slow,65,80,80,59,63,58,340
Feraligatr,Water,Big Jaw Pokémon,2.3,88.8,1. TorrentSheer Force (hidden ability),239,Medium Slow,85,105,100,79,83,78,445
Sentret,Normal,Scout Pokémon,0.8,6,1. Run Away2. Keen EyeFrisk (hidden ability),43,Medium Fast,35,46,34,35,45,20,180
Furret,Normal,Long Body Pokémon,1.8,32.5,1. Run Away2. Keen EyeFrisk (hidden ability),145,Medium Fast,85,76,64,45,55,90,330
Hoothoot,Normal Flying,Owl Pokémon,0.7,21.2,1. Insomnia2. Keen EyeTinted Lens (hidden ability),52,Medium Fast,60,30,30,36,56,50,202
Noctowl,Normal Flying,Owl Pokémon,1.6,40.8,1. Insomnia2. Keen EyeTinted Lens (hidden ability),158,Medium Fast,100,50,50,86,96,70,352
Ledyba,Bug Flying,Five Star Pokémon,1,10.8,1. Swarm2. Early BirdRattled (hidden ability),53,Fast,40,20,30,40,80,55,225
Ledian,Bug Flying,Five Star Pokémon,1.4,35.6,1. Swarm2. Early BirdIron Fist (hidden ability),137,Fast,55,35,50,55,110,85,335
Spinarak,Bug Poison,String Spit Pokémon,0.5,8.5,1. Swarm2. InsomniaSniper (hidden ability),50,Fast,40,60,40,40,40,30,210
Ariados,Bug Poison,Long Leg Pokémon,1.1,33.5,1. Swarm2. InsomniaSniper (hidden ability),140,Fast,70,90,70,60,70,40,330
Crobat,Poison Flying,Bat Pokémon,1.8,75,1. Inner FocusInfiltrator (hidden ability),241,Medium Fast,85,90,80,70,80,130,450
Chinchou,Water Electric,Angler Pokémon,0.5,12,1. Volt Absorb2. IlluminateWater Absorb (hidden ability),66,Slow,75,38,38,56,56,67,255
Lanturn,Water Electric,Light Pokémon,1.2,22.5,1. Volt Absorb2. IlluminateWater Absorb (hidden ability),161,Slow,125,58,58,76,76,67,335
Pichu,Electric,Tiny Mouse Pokémon,0.3,2,1. StaticLightning Rod (hidden ability),41,Medium Fast,20,40,15,35,35,60,185
Cleffa,Fairy,Star Shape Pokémon,0.3,3,1. Cute Charm2. Magic GuardFriend Guard (hidden ability),44,Fast,50,25,28,45,55,15,168
Igglybuff,Normal Fairy,Balloon Pokémon,0.3,1,1. Cute Charm2. CompetitiveFriend Guard (hidden ability),42,Fast,90,30,15,40,20,15,120
Togepi,Fairy,Spike Ball Pokémon,0.3,1.5,1. Hustle2. Serene GraceSuper Luck (hidden ability),49,Fast,35,20,65,40,65,20,210
Togetic,Fairy Flying,Happiness Pokémon,0.6,3.2,1. Hustle2. Serene GraceSuper Luck (hidden ability),142,Fast,55,40,85,80,105,40,350
Natu,Psychic Flying,Tiny Bird Pokémon,0.2,2,1. Synchronize2. Early BirdMagic Bounce (hidden ability),64,Medium Fast,40,50,45,70,45,70,280
Xatu,Psychic Flying,Mystic Pokémon,1.5,15,1. Synchronize2. Early BirdMagic Bounce (hidden ability),165,Medium Fast,65,75,70,95,70,95,405
Mareep,Electric,Wool Pokémon,0.6,7.8,1. StaticPlus (hidden ability),56,Medium Slow,55,40,40,65,45,35,225
Flaaffy,Electric,Wool Pokémon,0.8,13.3,1. StaticPlus (hidden ability),128,Medium Slow,70,55,55,80,60,45,295
Ampharos,Electric Dragon,Light Pokémon,1.4,61.5,Mold Breaker,275,Medium Slow,90,95,105,165,110,45,520
Bellossom,Grass,Flower Pokémon,0.4,5.8,1. ChlorophyllHealer (hidden ability),221,Medium Slow,75,80,95,90,100,50,415
Marill,Water Fairy,Aqua Mouse Pokémon,0.4,8.5,1. Thick Fat2. Huge PowerSap Sipper (hidden ability),88,Fast,70,20,50,20,50,40,180
Azumarill,Water Fairy,Aqua Rabbit Pokémon,0.8,28.5,1. Thick Fat2. Huge PowerSap Sipper (hidden ability),210,Fast,100,50,80,60,80,50,320
Sudowoodo,Rock,Imitation Pokémon,1.2,38,1. Sturdy2. Rock HeadRattled (hidden ability),144,Medium Fast,70,100,115,30,65,30,340
Politoed,Water,Frog Pokémon,1.1,33.9,1. Water Absorb2. DampDrizzle (hidden ability),225,Medium Slow,90,75,75,90,100,70,410
Hoppip,Grass Flying,Cottonweed Pokémon,0.4,0.5,1. Chlorophyll2. Leaf GuardInfiltrator (hidden ability),50,Medium Slow,35,35,40,35,55,50,215
Skiploom,Grass Flying,Cottonweed Pokémon,0.6,1,1. Chlorophyll2. Leaf GuardInfiltrator (hidden ability),119,Medium Slow,55,45,50,45,65,80,285
Jumpluff,Grass Flying,Cottonweed Pokémon,0.8,3,1. Chlorophyll2. Leaf GuardInfiltrator (hidden ability),230,Medium Slow,75,55,70,55,95,110,385
Aipom,Normal,Long Tail Pokémon,0.8,11.5,1. Run Away2. PickupSkill Link (hidden ability),72,Fast,55,70,55,40,55,85,305
Sunkern,Grass,Seed Pokémon,0.3,1.8,1. Chlorophyll2. Solar PowerEarly Bird (hidden ability),36,Medium Slow,30,30,30,30,30,30,150
Sunflora,Grass,Sun Pokémon,0.8,8.5,1. Chlorophyll2. Solar PowerEarly Bird (hidden ability),149,Medium Slow,75,75,55,105,85,30,350
Yanma,Bug Flying,Clear Wing Pokémon,1.2,38,1. Speed Boost2. Compound EyesFrisk (hidden ability),78,Medium Fast,65,65,45,75,45,95,325
Wooper,Poison Ground,Poison Fish Pokémon,0.4,11,Poison Point Water Absorb Unaware,42,Medium Fast,55,45,45,25,25,15,155
Quagsire,Water Ground,Water Fish Pokémon,1.4,75,1. Damp2. Water AbsorbUnaware (hidden ability),151,Medium Fast,95,85,85,65,65,35,335
Espeon,Psychic,Sun Pokémon,0.9,26.5,1. SynchronizeMagic Bounce (hidden ability),184,Medium Fast,65,65,60,130,95,110,460
Umbreon,Dark,Moonlight Pokémon,1,27,1. SynchronizeInner Focus (hidden ability),184,Medium Fast,95,65,110,60,130,65,430
Murkrow,Dark Flying,Darkness Pokémon,0.5,2.1,1. Insomnia2. Super LuckPrankster (hidden ability),81,Medium Slow,60,85,42,85,42,91,345
