Weight,Attack,Defense
20.6,110,110
40.3,115,60
52.5,100,60
168,55,65
154,95,85
1.9,48,43
23.6,78,73
11.5,80,65
32.8,120,85
21.5,40,55
108,70,105
23.8,41,77
60.4,81,97
12.5,95,50
68.2,125,100
7.4,15,20
162,60,79
0.8,70,70
22,90,70
2.3,75,35
13,165,75
15,40,90
30.6,70,130
100,68,83
1,50,80
49,150,60
14,23,48
16.8,50,50
350.2,120,80
39.5,40,50
87.6,60,70
150.6,80,90
52.5,64,85
27,104,105
22.6,84,105
23.4,90,130
8.7,30,55
42.1,75,60
110.5,95,100
112.6,145,130
95.2,55,80
202.5,75,100
942.9,145,150
230,100,200
175,50,100
205,75,150
52,100,120
70,130,100
430,150,90
999.7,180,160
392,180,100
1.1,100,100
60.8,95,90
10.2,68,64
97,89,85
310,109,105
6.2,58,44
22,78,52
55,104,71
5.2,51,53
23,66,68
84.5,86,88
2,55,30
15.5,75,50
24.9,120,70
20,45,40
31.5,85,60
2.2,25,41
25.5,85,51
9.5,65,34
30.5,85,49
42,120,79
1.2,30,35
14.5,70,65
31.5,125,40
102.5,165,60
57,42,118
149.5,52,168
3.4,29,45
6.5,69,95
23.3,94,50
5.5,30,42
38.5,80,102
3.9,45,70
29.5,65,35
33.5,105,55
3.3,35,45
9.3,60,70
6.3,48,48
29.9,83,68
20.3,100,66
1.2,50,34
15,80,44
5.5,66,44
28.3,136,94
4.4,60,60
27.3,125,52
3.9,55,42
43.8,82,64
0.6,30,50
19.2,63,47
38,93,67
60.5,24,86
187,89,116
15,80,95
24.4,5,5
1.9,65,45
108,92,108
20.5,70,45
56,90,65
95,170,115
105,85,40
20.2,70,40
57.5,145,88
49.5,72,78
300,112,118
12,50,90
61.5,90,110
23,61,40
44.4,106,65
27,100,72
7,49,56
24,69,76
65,20,50
50.5,62,50
185,132,105
34,120,65
180,70,115
140,85,95
282.8,140,130
128.6,100,125
138.6,123,67
68,95,67
38,50,95
51.5,76,86
25.5,110,130
25.9,60,110
42.5,95,125
291,130,80
34,80,70
56.4,165,95
340,55,145
106.6,100,135
26.6,80,70
0.3,65,107
0.3,75,130
0.3,105,105
0.3,125,70
850,100,120
660,100,100
430,90,106
420,160,110
650,120,100
85.6,70,110
3.1,80,80
1.4,100,100
50.5,90,90
5.2,103,75
320,120,120
4,100,100
8.1,45,55
16,60,75
63,75,95
9.9,63,45
55.5,93,55
150,123,65
5.9,55,45
24.5,75,60
58.2,108,80
11.6,55,39
27,85,69
4.1,60,45
14.7,80,65
61,110,90
10.1,50,37
37.5,88,50
10.5,53,48
30.5,98,63
11,53,48
28,98,63
13.5,53,48
29,98,63
23.3,25,45
60.5,55,85
2.1,55,50
15,77,62
29,115,80
29.8,60,32
79.5,100,63
18,75,85
102,105,105
260,135,130
2.1,45,43
10.5,57,55
8.5,85,40
40.4,135,60
32,60,126
12.5,80,55
40,105,85
87,140,95
4.5,50,40
17,65,55
62,95,75
55.5,100,85
51,125,75
2.5,53,70
7.3,63,90
20.5,103,80
5.3,45,59
58.5,55,99
200.5,100,89
0.6,27,60
6.6,67,85
6.6,35,50
19.2,105,75
18,92,65
15.2,72,35
33.4,82,45
96.3,117,80
40,90,45
120,160,55
28,86,67
14.5,65,85
200,105,125
11.8,75,70
30,90,115
14,58,80
1.5,55,85
76.5,50,145
16.5,78,103
81,108,133
9.5,112,45
32,140,65
31,50,62
107.3,95,82
12.5,60,40
73,100,60
5.8,50,40
7.5,95,60
5.8,30,50
18,45,70
44,55,95
1,30,40
8,40,50
20.1,65,75
5.5,44,50
24.2,87,63
5.7,50,50
41,65,65
57.5,95,85
19.5,60,50
92.5,100,70
5,75,60
5.9,75,45
33,135,105
1,55,45
10.5,85,70
33,40,50
135,60,70
31.6,75,80
0.6,47,50
14.3,77,60
18.8,50,91
110,94,131
21,55,70
51,80,95
81,100,115
0.3,55,40
22,85,70
80.5,115,80
9,55,55
34.5,75,75
3.1,30,55
13,40,60
34.3,55,90
18,87,60
36,117,70
105.5,147,90
8.5,70,40
260,130,80
148,50,50
7.7,40,85
25.3,70,40
20.5,81,99
20,85,50
35.5,125,60
139,120,90
92,74,50
330,124,80
10.2,85,70
70,125,100
94.6,110,95
10.5,83,50
43.4,83,70
9,55,75
39.5,65,105
58,97,66
33,109,112
17.3,65,50
50,85,70
160,105,90
28.8,85,55
46,60,65
250,90,129
260,129,90
200,90,72
63,100,80
61,105,70
330,120,100
345,150,120
68,145,90
325,170,100
48.5,72,90
6.5,128,90
82.5,120,95
9,61,65
29,78,95
90,107,122
9.4,45,40
14.5,59,58
39,69,72
7,56,40
10.9,63,52
40,145,67
5,36,38
42.4,56,77
1.7,50,43
16,73,55
24.5,81,71
2.5,35,40
8.4,22,60
17,52,50
13.5,50,58
81.5,68,72
0.9,45,47
10,65,68
31,65,48
91,100,62
8,82,62
136,124,78
28,80,60
3.5,48,54
8.5,48,76
2,80,100
4.5,110,150
53,140,50
0.5,52,60
15.5,72,72
3.5,48,66
5,80,86
3.5,54,53
47,92,88
31,52,67
96,105,115
7.3,60,60
81.5,75,90
8.3,53,62
35.3,73,88
6,38,33
21,55,52
26,89,77
270,121,119
25.2,59,50
225,77,72
23.5,65,65
21.5,92,75
2.2,58,57
5.7,50,150
2.8,50,35
68.5,75,83
334.1,100,100
3,80,91
7,70,48
71,110,76
15,66,70
39,100,122
99.5,69,85
262.4,127,184
8,30,35
85,70,80
215,131,95
203,131,95
610,100,121
27.8,160,110
490,160,60
195,110,120
1.5,55,55
16,75,75
37,112,80
4.3,65,40
25,85,50
83,115,90
7.5,54,54
17.5,69,69
44,74,74
1.2,75,30
14.8,85,50
26,120,75
6,70,30
14.2,110,60
4.4,62,45
10.5,82,95
45,70,90
7,82,57
180,132,77
3.4,70,70
0.2,45,40
0.5,55,60
9.2,65,40
25,117,65
78.6,140,130
8,53,62
14.5,63,152
110,100,70
920,125,100
4,40,52
82,70,92
1.5,55,35
18.5,105,90
1.5,35,55
11.5,45,80
4.8,44,40
22.2,64,60
6.8,75,50
135,125,80
3.2,30,38
8.2,40,48
21.4,120,98
0.3,52,90
76,60,80
82.8,120,90
12,35,40
108,125,140
70,55,80
250,75,110
1.2,60,130
100.5,95,95
0.3,100,60
19.9,115,65
212,78,135
3.3,98,63
0.7,90,80
19,105,70
185,60,85
210,131,100
29.7,55,65
47,75,90
78.2,110,125
20.5,115,85
18.6,85,75
45.5,130,115
21.2,75,115
0.1,29,31
999.9,29,131
230,137,107
120,113,89
55.5,53,47
333.6,139,139
25,137,37
100,89,71
999.9,101,103
0.1,181,131
888,101,53
230,167,97
80.5,95,115
22.2,125,80
1.8,73,67
150,73,73
820,131,211
13,127,53
44.5,112,75
8,65,65
800,143,143
5,65,50
14,85,70
90,125,90
4.5,71,40
9,86,60
33,116,75
4,40,40
11.5,60,55
45.2,85,65
2.5,55,55
6,95,95
1.8,47,35
16,67,55
75,87,105
8,20,20
19.5,35,80
40.8,45,110
8.9,28,28
19.9,58,58
2.2,40,60
2.5,50,90
6,40,55
43,80,100
8.5,64,50
115.5,115,90
13.5,45,50
34,90,60
12,40,50
78,60,90
310.5,80,120
0.5,40,80
1,110,80
13,85,80
7.6,57,75
65.5,107,125
18,85,55
1,63,40
30,123,60
11,38,35
40,98,70
1,65,45
120,115,65
4,68,60
39,118,90
0.2,45,45
0.4,65,65
3.4,30,45
4.8,40,65
5.1,90,95
5.5,45,30
12.5,60,45
61,120,65
46,90,101
28,110,100
0.4,95,50
66.6,95,145
0.3,40,40
0.5,60,75
62,100,100
1,101,95
3.8,25,35
42,65,60
520,125,135
89,80,70
28,55,65
3,95,58
100,80,49
650,130,69
190,100,90
150,100,90
215,90,100
175,90,100
40,95,115
2,60,30
11,80,50
50,120,75
355,150,115
785,120,140
950,115,250
12,90,60
105,130,100
70,120,105
145,100,50
200,100,50
800,145,130
44.5,65,60
53.6,85,80
95.1,105,72
89,135,95
333,70,120
110,92,65
43,130,60
60.5,115,95
48,115,110
4.1,61,54
12.2,80,63
31.2,110,70
9.8,45,59
30.7,55,78
326.5,75,100
6.1,65,45
21.5,85,65
61.9,120,80
10.2,45,40
120,90,70
4,41,45
16.5,79,92
1,46,40
17.5,102,78
2.5,50,20
6.5,75,40
41,115,70
1.8,50,45
2.3,75,70
10.9,55,70
14.9,80,115
6.5,35,45
11.9,53,60
48.2,69,90
2.4,96,51
16,55,75
105,60,100
240,100,130
10.5,50,40
85,60,100
62,125,80
0.4,31,41
113,64,91
3.6,40,35
38.6,70,60
16,78,60
61,120,90
0.7,65,35
27.2,95,65
0.6,65,30
6,115,70
33,40,35
58,70,65
79,100,115
3,62,40
15,108,65
1,50,60
3.5,50,85
1.5,35,30
90,60,60
8.9,45,45
59.1,55,55
112.8,75,77
1.8,55,25
5.4,100,50
42.9,103,85
60.2,45,40
97.4,160,97
35,70,63
120,119,90
63,95,65
310,85,145
8,35,42
45,55,90
35,61,60
15,101,100
37,115,74
45,68,45
700,113,65
90,102,73
220,100,115
8,50,60
56,115,80
223,75,60
160,90,70
47.4,100,80
120,135,120
320,131,131
8,65,99
21,127,99
4,55,55
92,135,79
60,81,97
240,112,120
11,80,114
380.7,140,108
111,80,86
36,70,60
303,134,110
17,75,45
30,95,66
210,145,92
0.1,30,25
30,60,95
74.2,85,100
152.2,120,80
699.7,110,125
4.9,80,80
380,139,71
35,130,90
303,135,115
240,85,100
280,83,91
125,130,88
4.4,80,110
1.1,45,45
2.2,60,106
92,128,115
12.2,75,66
30.1,91,82
39.8,120,84
60,105,130
93,80,110
590,115,121
480,73,91
162.5,120,80
156,72,100
77,105,110
0.3,88,160
