Weight,Attack,Defense
light,54,53
light,92,88
light,52,67
light,105,115
light,60,60
light,75,90
light,53,62
light,73,88
light,38,33
light,55,52
light,89,77
light,59,50
light,65,65
light,92,75
light,58,57
light,50,150
light,50,35
light,75,83
light,80,91
light,70,48
light,110,76
light,66,70
light,100,122
light,69,85
light,30,35
light,70,80
light,160,110
light,55,55
light,75,75
light,112,80
light,65,40
light,85,50
light,115,90
light,54,54
light,69,69
light,74,74
light,75,30
light,85,50
light,120,75
light,70,30
light,110,60
light,62,45
light,82,95
light,70,90
light,82,57
light,70,70
light,45,40
light,55,60
light,65,40
light,117,65
light,140,130
light,53,62
light,63,152
light,100,70
light,40,52
light,70,92
light,55,35
light,105,90
light,35,55
light,45,80
light,44,40
light,64,60
light,75,50
light,125,80
light,30,38
light,40,48
light,120,98
light,52,90
light,60,80
light,120,90
light,35,40
light,125,140
light,55,80
light,60,130
light,95,95
light,100,60
light,115,65
light,98,63
light,90,80
light,105,70
light,55,65
light,75,90
light,110,125
light,115,85
light,85,75
light,130,115
light,75,115
light,29,31
light,113,89
light,53,47
light,137,37
light,89,71
light,181,131
light,95,115
light,125,80
light,73,67
light,73,73
light,127,53
light,112,75
light,65,65
light,65,50
light,85,70
light,125,90
light,71,40
light,86,60
light,116,75
light,40,40
light,60,55
light,85,65
light,55,55
light,95,95
light,47,35
light,67,55
light,87,105
light,20,20
light,35,80
light,45,110
light,28,28
light,58,58
light,40,60
light,50,90
light,40,55
light,80,100
light,64,50
light,115,90
light,45,50
light,90,60
light,40,50
light,60,90
light,40,80
light,110,80
light,85,80
light,57,75
light,107,125
light,85,55
light,63,40
light,123,60
light,38,35
light,98,70
light,65,45
light,115,65
light,68,60
light,118,90
light,45,45
light,65,65
light,30,45
light,40,65
light,90,95
light,45,30
light,60,45
light,120,65
light,90,101
light,110,100
light,95,50
light,95,145
light,40,40
light,60,75
light,100,100
light,101,95
light,25,35
light,65,60
light,80,70
light,55,65
light,95,58
light,80,49
light,100,90
light,95,115
light,60,30
light,80,50
light,120,75
light,90,60
light,130,100
light,120,105
light,100,50
light,65,60
light,85,80
light,105,72
light,135,95
light,92,65
light,130,60
light,115,95
light,115,110
light,61,54
light,80,63
light,110,70
light,45,59
light,55,78
light,65,45
light,85,65
light,120,80
light,45,40
light,90,70
light,41,45
light,79,92
light,46,40
light,102,78
light,50,20
light,75,40
light,115,70
light,50,45
light,75,70
light,55,70
light,80,115
light,35,45
light,53,60
light,69,90
light,96,51
light,55,75
light,60,100
light,50,40
light,60,100
light,125,80
light,31,41
light,64,91
light,40,35
light,70,60
light,78,60
light,120,90
light,65,35
light,95,65
light,65,30
light,115,70
light,40,35
light,70,65
light,100,115
light,62,40
light,108,65
light,50,60
light,50,85
light,35,30
light,60,60
light,45,45
light,55,55
light,75,77
light,55,25
light,100,50
light,103,85
light,45,40
light,160,97
light,70,63
light,119,90
light,95,65
light,35,42
light,55,90
light,61,60
light,101,100
light,115,74
light,68,45
light,102,73
light,50,60
light,115,80
light,100,80
light,135,120
light,65,99
light,127,99
light,55,55
light,135,79
light,81,97
light,80,114
light,80,86
light,70,60
light,75,45
light,95,66
light,30,25
light,60,95
light,85,100
light,80,80
light,130,90
light,130,88
light,80,110
light,45,45
light,60,106
light,128,115
light,75,66
light,91,82
light,120,84
light,105,130
light,80,110
light,105,110
light,88,160
